"","Release_number","interview_id","State","Family_comp_change","Year","head_age","head_sex","wife_age","num_child","age_youngest_child","family_identifier","head_marital_status","hd_employ_status","hd_occ","hd_ind","hd_hrs_work_per_week","hd_wtr_unemployed","wtr_wf","wf_occ","wf_ind","wf_wtr_unemployed","hd_housework_hrs","wf_housework_hrs","hd_wage","wf_wage","hd_health","hd_weight","hd_height","wf_health","wf_weight","wf_height","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_change_in_marital_status","hd_edu","wf_edu","hd_adj_income"
"11814",6,3558,31,0,2001,31,2,0,0,0,2924,2,1,321,707,0,5,3,0,0,0,0,6,50000,0,1,115,1,0,0,0,0,0,0,0,0,1,1,1,5,1,2,17,0,32117.4652147987
"11815",6,3394,31,0,2001,43,1,37,2,4,2924,1,1,230,669,0,5,1,0,0,0,30,0,52000,0,3,200,0,3,125,2,9,1,5,0,1,9,2,5,0,1,1,11,12,33402.1638233907
"11816",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11817",6,2516,12,0,2001,78,1,70,0,0,2927,1,4,0,0,0,0,1,0,0,0,20,8,0,0,4,175,2,4,160,2,7,3,5,0,1,7,3,5,0,1,1,10,8,0
"11818",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11819",6,38,12,0,2001,55,1,53,0,0,2927,1,1,651,168,0,5,1,303,828,5,10,6,44000,31000,2,185,6,2,113,11,1,1,5,0,0,7,1,5,0,1,1,12,12,28263.3693890229
"11820",6,2760,5,0,2001,33,1,0,0,0,2927,2,1,245,697,42,5,2,0,0,0,0,8,35900,0,3,210,9,0,0,0,0,0,0,0,0,7,1,1,2,0,2,14,0,23060.3400242255
"11821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11822",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11823",6,37,12,1,2001,29,1,30,2,1,2927,1,1,202,707,0,5,1,321,717,5,25,15,47000,38000,1,210,2,1,120,0,1,9,1,4,1,9,0,0,0,99,1,99,16,30190.4173019108
