"","Release_number","interview_id","State","Family_comp_change","hd_wage","wf_wage","family_identifier","head_age","head_sex","wife_age","num_child","age_youngest_child","head_marital_status","hd_employ_status","hd_occ","hd_ind","hd_wtr_unemployed","hd_hrs_work_per_week","wtr_wf","wf_occ","wf_ind","wf_wtr_unemployed","wf_housework_hrs","hd_housework_hrs","hd_health","hd_weight","wf_health","wf_weight","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_edu","wf_edu","hd_change_in_marital_status","Year","hd_adj_income"
"13435",3,2762,21,0,0,0,5070,32,1,0,1,8,5,3,0,0,0,0,2,0,0,0,0,20,1,240,0,0,0,0,0,0,0,2,1,5,0,3,4,0,2,1986,0
"13436",3,2759,21,0,0,8200,5070,25,1,50,0,0,2,3,0,0,0,0,1,915,669,5,10,25,1,150,2,130,2,3,1,4,3,2,2,5,0,3,3,6,1,1986,0
"13437",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,NA
"13438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,NA
"13439",3,1858,21,0,22000,0,5071,58,1,55,0,0,1,4,0,0,0,0,1,0,0,0,12,4,4,204,5,145,2,3,5,0,3,2,2,5,0,3,2,2,1,1986,21243.4944152036
"13440",3,872,21,1,0,0,5071,35,2,0,4,1,5,7,0,0,0,0,3,0,0,0,0,20,2,185,0,0,0,0,0,0,0,2,2,1,1,5,6,0,2,1986,0
"13441",3,4162,21,0,21000,0,5071,34,1,36,2,8,1,1,85,838,5,40,1,0,0,0,25,10,2,190,3,150,2,1,1,2,9,2,1,1,2,9,6,6,1,1986,20277.8810326944
"13442",3,4336,21,0,17960,0,5071,23,1,24,1,4,1,1,694,728,5,50,1,0,0,0,12,3,2,157,2,118,1,1,1,0,12,2,1,1,0,12,4,4,1,1986,17342.4163498662
"13443",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,NA
"13444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,NA
"13445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,NA
"13446",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,NA
"13447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,NA
"13448",3,4102,21,0,29000,0,5072,59,1,51,0,0,1,1,690,219,5,40,1,0,0,0,30,10,2,170,5,210,2,1,1,2,5,2,2,5,0,5,3,6,1,1986,28002.7880927684
"13449",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,NA
"13450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,NA
